"","AU","TI","SO","PY","Variety","Coder","Removed","Reason"
"102","GOSSOP C","A NEW INLAND WATERWAY FOR THE 21ST CENTURY REAWAKENING A 200 YEAR-OLD VISION","PROCEEDINGS OF THE 50TH ISOCARP CONGRESS: URBAN TRANSFORMATIONS: CITIES AND WATER",2014,"Birmingham",NA,NA,NA
"103","ISMAIL A;BECKUM K;MCKAY K","TRANSEPITHELIAL ELIMINATION IN SARCOIDOSIS: A FREQUENT FINDING","JOURNAL OF CUTANEOUS PATHOLOGY",2014,"Birmingham",NA,NA,NA
"104","DAVIES AR;CHITNIS X;BARDSLEY M","HOSPITAL ACTIVITY AND COST INCURRED BECAUSE OF UNREGISTERED PATIENTS IN ENGLAND: CONSIDERATIONS FOR CURRENT AND NEW COMMISSIONERS","JOURNAL OF PUBLIC HEALTH",2013,"Birmingham",NA,NA,NA
"105","STEVENTON A;TUNKEL S;BLUNT I;BARDSLEY M","EFFECT OF TELEPHONE HEALTH COACHING (BIRMINGHAM OWNHEALTH) ON HOSPITAL USE AND ASSOCIATED COSTS: COHORT STUDY WITH MATCHED CONTROLS","BMJ-BRITISH MEDICAL JOURNAL",2013,"Birmingham",NA,NA,NA
"106","WATTS R","SOCIETY, EDUCATION AND THE STATE: GENDER PERSPECTIVES ON AN OLD DEBATE","PAEDAGOGICA HISTORICA",2013,"Birmingham",NA,NA,NA
"107","HANANI A;RUSSELL MJ;CAREY MJ","HUMAN AND COMPUTER RECOGNITION OF REGIONAL ACCENTS AND ETHNIC GROUPS FROM BRITISH ENGLISH SPEECH","COMPUTER SPEECH AND LANGUAGE",2013,"Birmingham",NA,NA,NA
"108","SCHUH R;NEUMANN D;RAUF R;HOFSTAETTER J;BOEHLER N;LABEK G","REVISION RATE OF BIRMINGHAM HIP RESURFACING ARTHROPLASTY: COMPARISON OF PUBLISHED LITERATURE AND ARTHROPLASTY REGISTER DATA","INTERNATIONAL ORTHOPAEDICS",2012,"Birmingham",NA,NA,NA
"109","BICKERTON WL;RIDDOCH MJ;SAMSON D;BALANI AB;MISTRY B;HUMPHREYS GW","SYSTEMATIC ASSESSMENT OF APRAXIA AND FUNCTIONAL PREDICTIONS FROM THE BIRMINGHAM COGNITIVE SCREEN","JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY",2012,"Birmingham",NA,NA,NA
"110","SHARIFZADEH HR;MCLOUGHLIN IV;RUSSELL MJ","A COMPREHENSIVE VOWEL SPACE FOR WHISPERED SPEECH","JOURNAL OF VOICE",2012,"Birmingham",NA,NA,NA
"111","MORAN J","REFLECTIONS ON THE FIRST ONSTAGE PROTEST AT THE ROYAL NATIONAL THEATRE: WHAT IS THE PROBLEM WITH RICHARD BEAN'S RECENT WORK?","STUDIES IN THEATRE AND PERFORMANCE",2012,"Birmingham",NA,NA,NA
"112","WRIGHT S","TEACHERS, FAMILY AND COMMUNITY IN THE URBAN ELEMENTARY SCHOOL: EVIDENCE FROM ENGLISH SCHOOL LOG BOOKS C.1880-1918","HISTORY OF EDUCATION",2012,"Birmingham",NA,NA,NA
"113","PARKER SG;FREATHY RJK","ETHNIC DIVERSITY, CHRISTIAN HEGEMONY AND THE EMERGENCE OF MULTI-FAITH RELIGIOUS EDUCATION IN THE 1970S","HISTORY OF EDUCATION",2012,"Birmingham",NA,NA,NA
"114","GARSKE U;HAACK A;BELTRAN O;FLORES-SUAREZ JP;LAMPRECHT P;HEDDERICH J;QUETZ WL;AMBROSCH P;LAUDIEN M","INTRA- AND INTER-RATER RELIABILITY OF ENDONASAL ACTIVITY ESTIMATION IN GRANULOMATOSIS WITH POLYANGIITIS (WEGENER'S)","CLINICAL AND EXPERIMENTAL RHEUMATOLOGY",2012,"Birmingham",NA,NA,NA
"115","CHANDLER J","EDGEWORTH AND THE LUNAR ENLIGHTENMENT","EIGHTEENTH-CENTURY STUDIES",2011,"Birmingham",NA,NA,NA
"116","BEGH RA;AVEYARD P;UPTON P;BHOPAL RS;WHITE M;AMOS A;PRESCOTT RJ;BEDI R;BARTON P;FLETCHER M;GILL Q;SHEIKH A","PROMOTING SMOKING CESSATION IN PAKISTANI AND BANGLADESHI MEN IN THE UK: PILOT CLUSTER RANDOMISED CONTROLLED TRIAL OF TRAINED COMMUNITY OUTREACH WORKERS","TRIALS",2011,"Birmingham",NA,NA,NA
"117","KUMAR K;GORDON C;BARRY R;SHAW K;HORNE K","`IT'S LIKE TAKING POISON TO KILL POISON BUT I HAVE TO GET BETTER': A QUALITATIVE STUDY OF BELIEFS ABOUT MEDICINES IN RHEUMATOID ARTHRITIS AND SYSTEMIC LUPUS ERYTHEMATOSUS PATIENTS OF SOUTH ASIAN ORIGIN","LUPUS",2011,"Birmingham",NA,NA,NA
"118","HANANI A;RUSSELL M;CAREY MJ","SPEECH-BASED IDENTIFICATION OF SOCIAL GROUPS IN A SINGLE ACCENT OF BRITISH ENGLISH BY HUMANS AND COMPUTERS","2011 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",2011,"Birmingham",NA,NA,NA
"119","PARKER SG;FREATHY RJK","CONTEXT, COMPLEXITY AND CONTESTATION: BIRMINGHAM'S AGREED SYLLABUSES FOR RELIGIOUS EDUCATION SINCE THE 1970S","JOURNAL OF BELIEFS \& VALUES-STUDIES IN RELIGION \& EDUCATION",2011,"Birmingham",NA,NA,NA
"120","SAUNTSON H;SIMPSON K","INVESTIGATING SEXUALITY DISCOURSES IN THE U.K. SECONDARY ENGLISH CURRICULUM","JOURNAL OF HOMOSEXUALITY",2011,"Birmingham",NA,NA,NA
"121","COUDERC G","ENGLISH CHORAL SOCIETIES AND THE RENAISSANCE OF ENGLISH MUSIC, 1840-1914","CAHIERS VICTORIENS \& EDOUARDIENS",2010,"Birmingham",NA,NA,NA
"122","MORAN J","``HE CALLS HIS DADA STILL'': NINETEENTH-CENTURY ENGLISH RADICALISM AND THE DRAMA OF PADRAIC PEARSE","KRITIKA KULTURA",2010,"Birmingham",NA,NA,NA
"123","DE BRUYN W;BAEKELANDT G;BORODIN D","EUROPEAN CREDIT TRANSFER SYSTEM ENABLING STUDENT EXCHANGE BETWEEN RUSSIAN AND (WESTERN) EUROPEAN UNIVERSITIES. BORSCH SOUP A LA BOLOGNAISE","4TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED 2010)",2010,"Birmingham",NA,NA,NA
"124","MCVEY R","A PRACTITIONER'S COMMENTARY","DRUGS-EDUCATION PREVENTION AND POLICY",2010,"Birmingham",NA,NA,NA
"125","CLARK L;SCHLEEF E","THE ACQUISITION OF SOCIOLINGUISTIC EVALUATIONS AMONG POLISH-BORN ADOLESCENTS LEARNING ENGLISH: EVIDENCE FROM PERCEPTION","LANGUAGE AWARENESS",2010,"Birmingham",NA,NA,NA
"126","CHAPAIN C;COMUNIAN R","ENABLING AND INHIBITING THE CREATIVE ECONOMY: THE ROLE OF THE LOCAL AND REGIONAL DIMENSIONS IN ENGLAND","REGIONAL STUDIES",2010,"Birmingham",NA,NA,NA
"127","SUNLEY P;PINCH S;MACMILLEN J","GROWING DESIGN? CHALLENGES AND CONSTRAINTS FACING DESIGN CONSULTANCIES IN THREE ENGLISH CITY-REGIONS","REGIONAL STUDIES",2010,"Birmingham",NA,NA,NA
"128","ABDELHAMID MF;WALL ML;VOHRA RK","CAROTID ARTERY PSEUDOANEURYSM AFTER CAROTID ENDARTERECTOMY: CASE SERIES AND A REVIEW OF THE LITERATURE","VASCULAR AND ENDOVASCULAR SURGERY",2009,"Birmingham",NA,NA,NA
"129","CLAIS-GIRARD J","NEWMAN'S LETTERS","CAHIERS VICTORIENS \& EDOUARDIENS",2009,"Birmingham",NA,NA,NA
"130","ELLIOTT AF;MCGWIN G;OWSLEY C","HEALTH-RELATED QUALITY OF LIFE AND VISUAL AND COGNITIVE IMPAIRMENT AMONG NURSING-HOME RESIDENTS","BRITISH JOURNAL OF OPHTHALMOLOGY",2009,"Birmingham",NA,NA,NA
"131","ELLIOTT AF;MCGWIN G;OWSLEY C","VISION-ENHANCING INTERVENTIONS IN NURSING HOME RESIDENTS AND THEIR SHORT-TERM EFFECT ON PHYSICAL AND COGNITIVE FUNCTION","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY",2009,"Birmingham",NA,NA,NA
"132","ZOJER H","VIENNA-LONDON-BELFAST: SCHNITZLER'S REIGEN ON THE TRANSLATION ROUNDABOUT","NEW THEATRE QUARTERLY",2009,"Birmingham",NA,NA,NA
"133","ORFORD J;ROLFE A;DALTON S;PAINTER H","PUB AND COMMUNITY: THE VIEWS OF BIRMINGHAM UNTREATED HEAVY DRINKERS","JOURNAL OF COMMUNITY \& APPLIED SOCIAL PSYCHOLOGY",2009,"Birmingham",NA,NA,NA
"134","DAMJANOVIC D","NEO-GOTHIC ARCHITECTURE IN THE OEUVRE OF HERMAN BOLLE","PROSTOR",2009,"Birmingham",NA,NA,NA
"135","USTUNEL E;AYDIN S","A COMPARATIVE STUDY ON TEACHING TURKISH AND ENGLISH AS A FOREIGN LANGUAGE AT THE POSTGRADUATE LEVEL","WORLD CONFERENCE ON EDUCATIONAL SCIENCES - NEW TRENDS AND ISSUES IN EDUCATIONAL SCIENCES",2009,"Birmingham",NA,NA,NA
"136","SALTZSTEIN AL;COPUS C;SONENSHEIN C","VISIONS OF URBAN REFORM COMPARING ENGLISH AND U. S. STRATEGIES FOR IMPROVING CITY GOVERNMENT","URBAN AFFAIRS REVIEW",2008,"Birmingham",NA,NA,NA
"137","REINARZ J","UNEARTHING AND DISSECTING THE RECORDS OF ENGLISH PROVINCIAL MEDICAL EDUCATION, C. 1825-1948","SOCIAL HISTORY OF MEDICINE",2008,"Birmingham",NA,NA,NA
"138","MAYS S;BRICKLEY M;IVES R","GROWTH IN AN ENGLISH POPULATION FROM THE INDUSTRIAL REVOLUTION","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY",2008,"Birmingham",NA,NA,NA
"139","ROSE EPF;CLATWORTHY JC","FRED SHOTTON: A `HERO' OF MILITARY APPLICATIONS OF GEOLOGY DURING WORLD WAR II","QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY",2008,"Birmingham",NA,NA,NA
"140","EWEN S","CHIEF OFFICERS AND PROFESSIONAL IDENTITIES: THE CASE OF FIRE SERVICES IN ENGLISH MUNICIPAL GOVERNMENT, C.1870-1938","HISTORICAL RESEARCH",2008,"Birmingham",NA,NA,NA
"141","WEBB RK","A PROVINCIAL MINISTER IN POLITICS: HENRY W. CROSSKEY","PARLIAMENTARY HISTORY",2008,"Birmingham",NA,NA,NA
"142","BEST D;DAY E;CANTILLANO V;GASTON RL;NAMBAMALI A;SWEETING R;KEANEY F","MAPPING HEROIN CAREERS: UTILISING A STANDARDISED HISTORY-TAKING METHOD TO ASSESS THE SPEED OF ESCALATION OF HEROIN USING CAREERS IN A TREATMENT-SEEKING COHORT","DRUG AND ALCOHOL REVIEW",2008,"Birmingham",NA,NA,NA
"143","BARNES LP","THE 2007 BIRMINGHAM AGREED SYLLABUS FOR RELIGIOUS EDUCATION: A NEW DIRECTION FOR STATUTORY RELIGIOUS EDUCATION IN ENGLAND AND WALES","JOURNAL OF BELIEFS \& VALUES-STUDIES IN RELIGION \& EDUCATION",2008,"Birmingham",NA,NA,NA
"144","HUSBANDS CT","GERMAN ACADEMICS IN BRITISH UNIVERSITIES DURING THE FIRST WORLD WAR: THE CASE OF KARL WICHMANN","GERMAN LIFE AND LETTERS",2007,"Birmingham",NA,NA,NA
"145","JOLLY K;TAYLOR R;LIP GYH;GREENFIELD J;MANT J;LANE D;JONES M;LEE A","THE BIRMINGHAM REHABILITATION UPTAKE MAXIMISATION STUDY (BRUM). HOME-BASED COMPARED WITH HOSPITAL-BASED CARDIAC REHABILITATION IN A MULTI-ETHNIC POPULATION: COST-EFFECTIVENESS AND PATIENT ADHERENCE","HEALTH TECHNOLOGY ASSESSMENT",2007,"Birmingham",NA,NA,NA
"146","HAJAT S;ARMSTRONG B;WILKINSON P;BUSBY A;DOLK H","OUTDOOR AIR POLLUTION AND INFANT MORTALITY: ANALYSIS OF DAILY TIME-SERIES DATA IN 10 ENGLISH CITIES","JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH",2007,"Birmingham",NA,NA,NA
"147","OWSLEY C;MCGWIN G;SCILLEY K;MEEK GC;DYER A;SEKER D","THE VISUAL STATUS OF OLDER PERSONS RESIDING IN NURSING HOMES","ARCHIVES OF OPHTHALMOLOGY",2007,"Birmingham",NA,NA,NA
"148","ROSENTHAL L","ECONOMIC EFFICIENCY, NUISANCE, AND SEWAGE: NEW LESSONS FROM ATTORNEY-GENERAL V. COUNCIL OF THE BOROUGH OF BIRMINGHAM, 1858-95","JOURNAL OF LEGAL STUDIES",2007,"Birmingham",NA,NA,NA
"149","NETTLETON M;PASS DJ;WALTERS GW;WHITE RC","PUBLIC TRANSPORT ACCESSIBILITY MAP OF ACCESS TO GENERAL PRACTITIONERS SURGERIES IN LONGBRIDGE, BIRMINGHAM, UK","JOURNAL OF MAPS",2007,"Birmingham",NA,NA,NA
"150","HUANG SL;SPURGEON A","THE MENTAL HEALTH OF CHINESE IMMIGRANTS IN BIRMINGHAM, UK","ETHNICITY \& HEALTH",2006,"Birmingham",NA,NA,NA
"151","BADRINATH P;CURRELL RA;BRADLEY PM","CHARACTERISTICS OF PRIMARY CARE TRUSTS IN FINANCIAL DEFICIT AND SURPLUS - A COMPARATIVE STUDY IN THE ENGLISH NHS","BMC HEALTH SERVICES RESEARCH",2006,"Birmingham",NA,NA,NA
"152","EWEN S","MANAGING POLICE CONSTABLES AND FIREFIGHTERS: UNIFORMED PUBLIC SERVICES IN ENGLISH CITIES, C.1870-1930","INTERNATIONAL REVIEW OF SOCIAL HISTORY",2006,"Birmingham",NA,NA,NA
"153","ROBERTS OG","DEVELOPING THE UNTAPPED WEALTH OF BRITAIN'S `CELTIC FRINGE': WATER ENGINEERING AND THE WELSH LANDSCAPE, 1870-1960","LANDSCAPE RESEARCH",2006,"Birmingham",NA,NA,NA
"154","PRIOR D;FARROW K;PARIS A","BEYOND ASBOS? EVALUATING THE OUTCOMES OF ANTI-SOCIAL BEHAVIOUR INITIATIVES - EARLY FINDINGS FROM A CASE STUDY IN ONE ENGLISH CITY","LOCAL GOVERNMENT STUDIES",2006,"Birmingham",NA,NA,NA
"155","SCHMIED J","NEW WAYS OF ANALYSING ESL ON THE WWW WITH WEBCORP AND WEBPHRASECOUNT","CHANGING FACE OF CORPUS LINGUISTICS",2006,"Birmingham",NA,NA,NA
"156","DANCEY AL;RAYATT SS;SOON C;ILCHSHYN A;BROWN I;SRIVASTAVA S","MERKEL CELL CARCINOMA: A REPORT OF 34 CASES AND LITERATURE REVIEW","JOURNAL OF PLASTIC RECONSTRUCTIVE AND AESTHETIC SURGERY",2006,"Birmingham",NA,NA,NA
"157","MITCH D","LITERACY AND OCCUPATIONAL MOBILITY IN RURAL VERSUS URBAN VICTORIAN ENGLAND - EVIDENCE FROM THE LINKED MARRIAGE REGISTER AND CENSUS RECORDS FOR BIRMINGHAM AND NORFOLK, 1851 AND 1881","HISTORICAL METHODS",2005,"Birmingham",NA,NA,NA
"158","RAJI W","AFRICANIZING `ANTIGONE': POSTCOLONIAL DISCOURSE AND STRATEGIES OF INDIGENIZING A WESTERN CLASSIC","RESEARCH IN AFRICAN LITERATURES",2005,"Birmingham",NA,NA,NA
"159","ORFORD J;DALTON S","A FOUR-YEAR FOLLOW-UP OF CLOSE FAMILY MEMBERS OF BIRMINGHAM UNTREATED HEAVY DRINKERS","ADDICTION RESEARCH \& THEORY",2005,"Birmingham",NA,NA,NA
"160","KLEIN J","IRREGULAR MARRIAGES: UNORTHODOX WORKING-CLASS DOMESTIC LIFE IN LIVERPOOL, BIRMINGHAM, AND MANCHESTER, 1900-1939","JOURNAL OF FAMILY HISTORY",2005,"Birmingham",NA,NA,NA
"161","SMITH A","REIMAGING THE CITY - THE VALUE OF SPORT INITIATIVES","ANNALS OF TOURISM RESEARCH",2005,"Birmingham",NA,NA,NA
"162","MCGREGOR GR","WINTER NORTH ATLANTIC OSCILLATION, TEMPERATURE AND ISCHAEMIC HEART DISEASE MORTALITY IN THREE ENGLISH COUNTIES","INTERNATIONAL JOURNAL OF BIOMETEOROLOGY",2005,"Birmingham",NA,NA,NA
"163","BRAINARD JS;JONES AP;BATEMAN IJ;LOVETT AA","EXPOSURE TO ENVIRONMENTAL URBAN NOISE POLLUTION IN BIRMINGHAM, UK","URBAN STUDIES",2004,"Birmingham",NA,NA,NA
"164","GRAY JW","A 7-YEAR STUDY OF BLOODSTREAM INFECTIONS IN AN ENGLISH CHILDREN'S HOSPITAL","EUROPEAN JOURNAL OF PEDIATRICS",2004,"Birmingham",NA,NA,NA
"165","SAUTER M","THE RT. REVD MARK SAUTER - BISHOP OF BIRMINGHAM, ENGLAND. PAPER DELIVERED ON JULY 23RD 1989 (REPRINTED)","MOREANA",2004,"Birmingham",NA,NA,NA
"166","MCGREGOR GR;WATKIN HA;COX M","RELATIONSHIPS BETWEEN THE SEASONALITY OF TEMPERATURE AND ISCHAEMIC HEART DISEASE MORTALITY: IMPLICATIONS FOR CLIMATE BASED HEALTH FORECASTING","CLIMATE RESEARCH",2004,"Birmingham",NA,NA,NA
"167","PICKERING L","THE STRUCTURE AND FUNCTION OF INTONATIONAL PARAGRAPHS IN NATIVE AND NONNATIVE SPEAKER INSTRUCTIONAL DISCOURSE","ENGLISH FOR SPECIFIC PURPOSES",2004,"Birmingham",NA,NA,NA
"168","DODD V;CHALMERS C","COMPARING THE USE OF HYDROGEL DRESSINGS TO LANOLIN OINTMENT WITH LACTATING MOTHERS","JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING",2003,"Birmingham",NA,NA,NA
"169","JOLLY K;LIP GYH;SANDERCOCK J;GREENFIELD SM;RAFTERY JP;MANT J;TAYLOR D;LEE KW;STEVENS AJ","HOME-BASED VERSUS HOSPITAL-BASED CARDIAC REHABILITATION AFTER MYOCARDIAL INFARCTION OR REVASCULARISATION: DESIGN AND RATIONALE OF THE BIRMINGHAM REHABILITATION UPTAKE MAXIMISATION STUDY (BRUM): A RANDOMISED CONTROLLED TRIAL [ISRCTN72884263]","BMC CARDIOVASCULAR DISORDERS",2003,"Birmingham",NA,NA,NA
"170","BRAINARD JS;JONES AP;BATEMAN IJ;LOVETT AA","MODELLING ENVIRONMENTAL EQUITY: ACCESS TO AIR QUALITY IN BIRMINGHAM, ENGLAND","ENVIRONMENT AND PLANNING A",2002,"Birmingham",NA,NA,NA
"171","ITAKURA H","DESCRIBING CONVERSATIONAL DOMINANCE","JOURNAL OF PRAGMATICS",2001,"Birmingham",NA,NA,NA
"172","THOMAS GN","LATE MIDDLE PLEISTOCENE POLLEN BIOSTRATIGRAPHY IN BRITAIN: PITFALLS AND POSSIBILITIES IN THE SEPARATION OF INTERGLACIAL SEQUENCES","QUATERNARY SCIENCE REVIEWS",2001,"Birmingham",NA,NA,NA
"173","MEDINA-FRANCO H;URIST MM;FIVEASH J;HESLIN MJ;BLAND KI;BEENKEN SW","MULTIMODALITY TREATMENT OF MERKEL CELL CARCINOMA: CASE SERIES AND LITERATURE REVIEW OF 1024 CASES","ANNALS OF SURGICAL ONCOLOGY",2001,"Birmingham",NA,NA,NA
"174","GRIZZLE WE;MANNE U;JHALA NC;WEISS HL","MOLECULAR CHARACTERIZATION OF COLORECTAL NEOPLASIA IN TRANSLATIONAL RESEARCH","ARCHIVES OF PATHOLOGY \& LABORATORY MEDICINE",2001,"Birmingham",NA,NA,NA
"175","CATSIAPIS H","THE CENTENARY OF THE BIRTH OF NOEL COWARD (1899-1973-1999)","REVUE D HISTOIRE DU THEATRE",2000,"Birmingham",NA,NA,NA
"176","MOUDGIL H;MARSHALL T;HONEYBOURNE D","ASTHMA EDUCATION AND QUALITY OF LIFE IN THE COMMUNITY: A RANDOMISED CONTROLLED STUDY TO EVALUATE THE IMPACT ON WHITE EUROPEAN AND INDIAN SUBCONTINENT ETHNIC GROUPS FROM SOCIOECONOMICALLY DEPRIVED AREAS IN BIRMINGHAM, UK","THORAX",2000,"Birmingham",NA,NA,NA
"177","CROAD S","RECENT EMERGENCY RECORDING (BRITAIN, NATIONAL MONUMENTS, PRESERVATION)","TRANSACTIONS OF THE ANCIENT MONUMENTS SOCIETY",2000,"Birmingham",NA,NA,NA
"178","MUNRO MJ;DERWING TM;FLEGE JE","CANADIANS IN ALABAMA: A PERCEPTUAL STUDY OF DIALECT ACQUISITION IN ADULTS","JOURNAL OF PHONETICS",1999,"Birmingham",NA,NA,NA
"179","THOMSEN S;ARNETZ B;NOLAN P;SOARES J;DALLENDER J","INDIVIDUAL AND ORGANIZATIONAL WELL-BEING IN PSYCHIATRIC NURSING: A CROSS-CULTURAL STUDY","JOURNAL OF ADVANCED NURSING",1999,"Birmingham",NA,NA,NA
"180","WHITEHAND JWR;CARR CMH","THE CHANGING FABRICS OF ORDINARY RESIDENTIAL AREAS","URBAN STUDIES",1999,"Birmingham",NA,NA,NA
"181","THOMSEN S;DALLENDER J;SOARES J;NOLAN P;ARNETZ B","PREDICTORS OF A HEALTHY WORKPLACE FOR SWEDISH AND ENGLISH PSYCHIATRISTS","BRITISH JOURNAL OF PSYCHIATRY",1998,"Birmingham",NA,NA,NA
"182","MOUDGIL H;HONEYBOURNE D","DIFFERENCES IN ASTHMA MANAGEMENT BETWEEN WHITE EUROPEAN AND INDIAN SUBCONTINENT ETHNIC GROUPS LIVING IN SOCIOECONOMICALLY DEPRIVED AREAS IN THE BIRMINGHAM (UK) CONURBATION","THORAX",1998,"Birmingham",NA,NA,NA
"183","HUNSTON S;FRANCIS G","VERBS OBSERVED: A CORPUS-DRIVEN PEDAGOGIC GRAMMAR","APPLIED LINGUISTICS",1998,"Birmingham",NA,NA,NA
"184","LOWE PA;BEDI R","AN EVALUATION OF PRACTICE LEAFLETS PROVIDED BY GENERAL DENTAL PRACTITIONERS WORKING IN MULTI-RACIAL AREAS","BRITISH DENTAL JOURNAL",1997,"Birmingham",NA,NA,NA
"185","JACOBS B","NETWORKS, PARTNERSHIPS AND EUROPEAN UNION REGIONAL ECONOMIC DEVELOPMENT INITIATIVES IN THE WEST MIDLANDS","POLICY AND POLITICS",1997,"Birmingham",NA,NA,NA
"186","RITCH AES;EHTISHAM M;GUTHRIE S;TALBOT JM;LUCK RN","ETHNIC INFLUENCE ON HEALTH AND DEPENDENCY OF ELDERLY INNER CITY RESIDENTS","JOURNAL OF THE ROYAL COLLEGE OF PHYSICIANS OF LONDON",1996,"Birmingham",NA,NA,NA
"187","BRAMWELL B;RAWDING L","TOURISM MARKETING IMAGES OF INDUSTRIAL CITIES","ANNALS OF TOURISM RESEARCH",1996,"Birmingham",NA,NA,NA
"188","FARRIMOND MS;MARTIN JR","IMPROVING WATER QUALITY IN THE RIVER TAME, BIRMINGHAM, UK","RIVERTECH `96 - 1ST INTERNATIONAL CONFERENCE ON NEW/EMERGING CONCEPTS FOR RIVERS, PROCEEDINGS, VOLS 1 AND 2: CELEBRATING THE TWENTY-FIFTH ANNIVERSARY OF IWRA",1996,"Birmingham",NA,NA,NA
"189","ILETT SJ","PUTTING IT ON TAPE - AUDIO TAPED ASSESSMENT SUMMARIES FOR PARENTS","ARCHIVES OF DISEASE IN CHILDHOOD",1995,"Birmingham",NA,NA,NA
"190","WILSON S;MARLEY C","A COMPARATIVE-STUDY OF USERS OF NORPLANT IN ENGLAND AND INDONESIA - A STUDENT ELECTIVE PROJECT","BRITISH JOURNAL OF FAMILY PLANNING",1995,"Birmingham",NA,NA,NA
"191","BOX JD;WALKER GJ","CONSERVATION OF THE BLYTHE, A HIGH-QUALITY RIVER IN A MAJOR URBAN AREA IN ENGLAND","AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS",1994,"Birmingham",NA,NA,NA
"192","WHITTLE P","A CONVERSATION WITH DANIELS,HENRY","STATISTICAL SCIENCE",1993,"Birmingham",NA,NA,NA
"193","NEWTH SJ;CORBETT J","BEHAVIOR AND EMOTIONAL-PROBLEMS IN 3-YEAR-OLD CHILDREN OF ASIAN PARENTAGE","JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY AND ALLIED DISCIPLINES",1993,"Birmingham",NA,NA,NA
"194","BERG M","SMALL PRODUCER CAPITALISM IN 18TH-CENTURY ENGLAND","BUSINESS HISTORY",1993,"Birmingham",NA,NA,NA
"195","HARRIS J","BARCELONA, BEIJING, BIRMINGHAM POPULISM AND ENGLISH ART SCHOOLS IN TRANSITION","THIRD TEXT",2018,"Birmingham",NA,NA,NA
"196","BRABER N","DIALECTS OF ENGLISH. WEST MIDLANDS ENGLISH: BIRMINGHAM AND THE BLACK COUNTRY","ENGLISH TODAY",2015,"Birmingham",NA,NA,NA
"197","CLARKE M","CHRISTMAS ROUNDUP (HIGHLIGHTS OF PERFORMANCES BY BIRMINGHAM ROYAL BALLET, THE ROYAL BALLET AND ENGLISH NATIONAL BALLET)","DANCING TIMES",1999,"Birmingham",NA,NA,NA
"198","FEUCHTWANGER EJ","ENGLISH ENTREPRENEURS, 1870-1914 - A COLLECTIVE BIOGRAPHY OF LEADING BUSINESS AND INDUSTRIAL LEADERS IN BIRMINGHAM, BRISTOL, AND MANCHESTER - GERMAN - BERGHOFF,H","ENGLISH HISTORICAL REVIEW",1995,"Birmingham",NA,NA,NA
"199","BARNES C","HOME THOUGHTS FROM ABROAD + THE BIRMINGHAM-ROYAL-BALLET, ENGLISH-NATIONAL-BALLET AND THE ST-PETERSBURG-BALLET IN LONDON","DANCE MAGAZINE",1993,"Birmingham",NA,NA,NA
"200","SCHROTER HG","ENGLISH ENTREPRENEURS 1870-1914 - BIOGRAPHIES OF LEADING ENTREPRENEURS IN BIRMINGHAM, BRISTOL AND MANCHESTER - GERMAN - BERGHOFF,H","HISTORISCHE ZEITSCHRIFT",1993,"Birmingham",NA,NA,NA
"201","MALCHOW HL","ENGLISH ENTREPRENEURS 1870-1914 - COLLECTIVE BIOGRAPHY OF MERCHANTS IN BIRMINGHAM, BRISTOL AND MANCHESTER - GERMAN - BERGHOFF,H","AMERICAN HISTORICAL REVIEW",1993,"Birmingham",NA,NA,NA
"202","CLARK M","THE `NUTCRACKER' SEASONS + ENGLISH-NATIONAL-BALLET, BIRMINGHAM-ROYAL-BALLET AND THE ROYAL-BALLET PRODUCTIONS","DANCING TIMES",1992,"Birmingham",NA,NA,NA
"203","OBRIEN J","CONFLICT AND COMPROMISE, CLASS FORMATION IN ENGLISH-SOCIETY, 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","JOURNAL OF MODERN HISTORY",1984,"Birmingham",NA,NA,NA
"204","VANDERGOOT AS","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","TIJDSCHRIFT VOOR GESCHIEDENIS",1984,"Birmingham",NA,NA,NA
"205","NEALE RS","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY, 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","AMERICAN HISTORICAL REVIEW",1983,"Birmingham",NA,NA,NA
"206","BATHO GR","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY 1830-1914, A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","BRITISH JOURNAL OF EDUCATIONAL STUDIES",1983,"Birmingham",NA,NA,NA
